3088,1001
20169,276
18792,33
29962,29982
6057,2948
1311,3366
63,246
8747,69
7183,33
22592,1574
2449,1032
12938,218
5895,6147
3864,4070
1676,2576
8085,4487
2566,442
170,7913
4341,12434
978,249
10220,631
35563,33
14219,14220
7802,7555
21840,18905
8767,7269
427,5933
4666,4667
326,113
23829,3364
20048,33
14044,14059
9804,9804
48,92
866,2146
866,2145
48,96
8109,33
7142,8791
7142,8790
1557,28370
427,5937
1557,28374
14745,12068
12913,1419
6070,68
15634,4191
5864,6
427,5939
6879,1852
24528,278
2508,33
2243,860
338,3559
5865,5899
2761,6134
8085,167
6456,3532
13471,16504
3237,3643
19183,18719
6807,9528
2456,1189
268,33
2894,278
2456,1186
981,276
5966,4320
643,214
13228,33021
224,14401
7235,7235
7967,18756
7732,4040
6978,6951
67,14075
11530,3382
67,14076
3835,3018
7211,7347
2985,1607
31679,2754
2790,33
27570,7765
991,6319
389,1614
3864,4072
19795,19550
4191,10115
248,2138
21908,22074
10197,1973
35531,2430
24658,24659
13498,13499
2729,13616
4090,6477
388,694
214,3489
214,3481
20505,18905
214,3487
1678,10850
7765,979
481,1385
27236,388
31429,2754
16823,16805
3600,12042
10510,1990
190,15350
1432,10027
359,33
11317,11314
3522,214
19505,444
11317,11317
170,2437
1153,520
28683,13780
27445,27572
9577,3747
28859,28834
6495,18905
1418,28276
1418,28275
25053,25026
29990,29988
9577,2838
7881,7738
866,11476
866,11477
866,11474
866,11475
866,11472
866,11473
866,11470
866,11471
29872,359
866,11478
866,11479
161,7244
721,22
8662,7714
3428,7316
546,277
1165,6498
6568,15433
12796,2003
29013,8375
36,460
6568,15439
333,22
15103,1432
6071,33
333,28
21849,18905
4019,10100
36,1678
2134,5642
2134,5643
2134,5640
2134,5641
2134,5644
29299,4035
18789,2330
2107,2058
16108,16110
69,86
69,87
69,81
1073,3421
19108,1197
1403,13537
121,91
2471,2349
1393,2934
169,346
20224,3232
268,3411
846,22
7663,8055
7663,8056
8759,7273
69,2974
1486,4241
12968,35233
12968,35234
8842,7186
11614,4170
935,34841
9600,2347
11704,3764
28006,2946
20073,1463
30786,763
6106,3643
11655,32786
21708,18905
4040,1524
1419,17261
17273,479
1164,3725
171,10477
2703,2801
22638,48
88,2697
2703,2807
19332,19260
1623,2188
14527,33
504,505
1782,1094
3265,391
10784,190
24232,15079
1410,1445
26251,1915
19514,33
1410,1441
864,4546
326,1791
326,1797
9173,1197
16577,20695
2843,367
1695,631
2134,4997
5596,5601
5596,5600
1419,5872
3781,33
4746,4748
48,93
4746,4747
2973,62
1464,2055
2634,2635
285,1393
9303,591
9713,575
13578,3131
9695,9987
3400,2949
285,1399
205,361
589,479
50,12042
7616,69
1608,2759
1641,1829
7559,33
7499,7348
9541,2352
25450,763
12435,2329
29026,13457
3365,3005
12685,2003
6679,9699
7484,8104
9283,9284
6477,3382
21101,18905
35308,35339
7484,8108
12665,1978
3671,276
4794,4782
10094,4014
12903,481
238,1242
4062,16730
12968,22708
32434,32413
3957,23630
7391,3663
1445,3549
442,442
1557,3785
94,4258
1432,529
7993,3212
32185,23659
1225,4610
16141,4619
3370,24270
7109,6261
575,10625
9577,17003
9577,17001
3555,1422
1608,1579
5081,4072
160,19846
1198,18318
1295,1282
25066,25026
9659,4550
4440,9901
9648,276
6031,427
35106,34839
410,1309
410,1308
23956,33
13537,9695
884,2003
31684,19155
33266,33267
1232,2453
9860,28187
3879,6451
8140,13847
22,962
979,1980
3763,170
3019,33
2566,11692
8270,7724
352,2949
17842,17843
238,340
3932,3900
28152,28004
3177,22
9645,10351
9645,10350
4014,10081
1031,184
4014,10083
7269,3683
873,9167
30474,1419
1412,997
